Día de Fecha Defuncion;Fecha Defuncion;Nombre Ambito;Nombre Gedad;Nombre Sexo;Ambito;Cod Ambito;Cod Gedad;Cod Ine Ambito;Cod Sexo;Defunciones Esperadas;Defunciones Esperadas Q01;Defunciones Esperadas Q99;Defunciones Observadas;Defunciones Observadas Lim Inf;Defunciones Observadas Lim Sup;Número de registros
8 de enero de 2020;08/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1307;1138,99;1668,61;1333;1333;1333;1
9 de enero de 2020;09/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1308,5;1138,99;1626,52;1271;1271;1271;1
10 de enero de 2020;10/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1314,75;1138,99;1636,18;1376;1376;1376;1
11 de enero de 2020;11/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1324,75;1165,83;1695,27;1350;1350;1350;1
12 de enero de 2020;12/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1324,75;1170,07;1695,27;1259;1259;1259;1
13 de enero de 2020;13/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1328,25;1179,97;1695,27;1260;1260;1260;1
14 de enero de 2020;14/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1326;1161,37;1695,27;1337;1337;1337;1
15 de enero de 2020;15/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1321,25;1151,02;1676,64;1353;1353;1353;1
16 de enero de 2020;16/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1328,75;1151,02;1676,64;1332;1332;1332;1
17 de enero de 2020;17/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1328,75;1151,02;1676,64;1478;1478;1478;1
18 de enero de 2020;18/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1325;1151,02;1645,06;1377;1377;1377;1
19 de enero de 2020;19/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1325,5;1137,91;1645,06;1291;1291;1291;1
20 de enero de 2020;20/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1325,5;1137,91;1645,06;1231;1231;1231;1
21 de enero de 2020;21/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1329,75;1145,97;1640,92;1388;1388;1388;1
22 de enero de 2020;22/01/2020;España;Todos ;Todos;nacional;NA;all;NA;all;1330;1136,69;1624,79;1388;1388;1388;1
16 de noviembre de 2019;16/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1095,5;988,01;1195,61;1095;1095;1095;1
17 de noviembre de 2019;17/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1095,5;992,84;1195,61;1058;1058;1058;1
18 de noviembre de 2019;18/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1094,75;992,84;1195,61;1055;1055;1055;1
19 de noviembre de 2019;19/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1094,5;992,84;1201,82;1152;1152;1152;1
20 de noviembre de 2019;20/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1095,5;973,52;1201,82;1162;1162;1162;1
21 de noviembre de 2019;21/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1095,5;995,32;1208,72;1131;1131;1131;1
22 de noviembre de 2019;22/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1095;996,01;1208,72;1178;1178;1178;1
23 de noviembre de 2019;23/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1096;996,01;1198,1;1151;1151;1151;1
24 de noviembre de 2019;24/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1097,5;996,01;1198,1;987;987;987;1
25 de noviembre de 2019;25/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1103;996,01;1224,22;1084;1084;1084;1
26 de noviembre de 2019;26/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1107,25;996,01;1224,22;1181;1181;1181;1
27 de noviembre de 2019;27/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1107,25;1025,7;1230,43;1145;1145;1145;1
28 de noviembre de 2019;28/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1117,5;1025,7;1230,43;1172;1172;1172;1
29 de noviembre de 2019;29/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1125;1022,595;1234,57;1180;1180;1180;1
30 de noviembre de 2019;30/11/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1127,5;1021,82;1249,75;1087;1087;1087;1
1 de diciembre de 2019;01/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1133;1021,82;1249,75;1061;1061;1061;1
2 de diciembre de 2019;02/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1139;1021,82;1246,65;1061;1061;1061;1
3 de diciembre de 2019;03/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1139;1021,82;1256,31;1135;1135;1135;1
4 de diciembre de 2019;04/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1142,75;1021,82;1256,31;1099;1099;1099;1
5 de diciembre de 2019;05/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1143;1021,82;1256,31;1102;1102;1102;1
6 de diciembre de 2019;06/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1143;999,245;1256,31;1099;1099;1099;1
7 de diciembre de 2019;07/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1143;1022,36;1256,31;1046;1046;1046;1
8 de diciembre de 2019;08/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1145,25;1044,44;1274,98;1068;1068;1068;1
9 de diciembre de 2019;09/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1144;1044,44;1274,29;1091;1091;1091;1
10 de diciembre de 2019;10/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1147;1044,44;1299,82;1084;1084;1084;1
11 de diciembre de 2019;11/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1149;1044,44;1308,1;1166;1166;1166;1
12 de diciembre de 2019;12/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1161,5;1044,44;1323,99;1157;1157;1157;1
13 de diciembre de 2019;13/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1168,25;1071,45;1327,44;1215;1215;1215;1
14 de diciembre de 2019;14/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1173;1072,83;1327,44;1114;1114;1114;1
15 de diciembre de 2019;15/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1174,25;1077,07;1327,44;1104;1104;1104;1
16 de diciembre de 2019;16/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1175,75;1077,76;1327,44;1088;1088;1088;1
17 de diciembre de 2019;17/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1177,5;1077,76;1346,48;1086;1086;1086;1
18 de diciembre de 2019;18/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1182;1077,76;1361,92;1162;1162;1162;1
19 de diciembre de 2019;19/12/2019;España;Todos ;Todos;nacional;NA;all;NA;all;1203;1090,04;1395,47;1108;1108;1108;1
